PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5
30,17,ADVANCED,44,-2.662665129,7.567777157,-2.831799507,0.709230244,3.648185968,5.760176659,7.472553253,4.327698231,2.830518484,8.25052166,5.268800735,2.066366434,1.025628686,2.534426689,4.004070759,4.936021805,5.245751381,-2.698945761,2.676321983,0.214456692,4.99805975,6.354766846,6.183393002,4.768113613,6.452009678,4.295395374,1.114913702,1.828058004,1.696575403,2.920139313,3.189104557
31,12,INTERMEDIATE,38,-4.461335659,6.55821991,-5.508232117,-3.701196194,5.26253891,6.302141666,6.952401638,8.012645721,3.526843071,8.196667671,5.919077396,2.409095049,3.129657745,2.79937315,5.256504536,6.720288754,6.708167076,-6.721096516,3.050329685,0.570151925,4.772528172,5.981618404,7.744987011,7.541431427,6.385128498,4.08534193,-0.668536186,3.216564178,1.147307038,4.918642998,6.002096176
32,13,INTERMEDIATE,32,-1.751379132,11.19901657,-1.443675995,0.532428443,6.915828228,9.111966133,10.22443867,6.04434967,5.005363941,11.21790695,8.490750313,3.642070532,2.715946913,4.416279793,6.615629196,6.743375778,8.336950302,-1.818467498,4.201344967,1.076290369,8.16947937,10.05316162,9.344272614,6.230566502,9.996006012,6.836999893,2.501687288,3.756709099,3.416703224,5.662943363,4.807107925
33,11,INTERMEDIATE,35,-12.49321461,0.09082903,-10.81367683,-5.068263054,0.215539649,-0.426209599,2.172780275,2.328978062,-3.643727064,1.688635588,0.436832905,-1.596075296,-0.854775488,0.513663948,2.815556765,3.135450363,-1.085219502,-15.33277321,-4.788948059,-2.585301161,-1.173114419,1.046049953,0.825726926,2.334807396,-0.379600167,-1.714917779,-1.558945894,0.029801898,-0.254403979,1.046341777,0.950096786
34,16,INTERMEDIATE,37,-5.429858208,1.467356682,-5.627215862,-3.20650959,-1.281534076,1.434811473,0.712371945,1.368496895,-0.906691253,2.274505138,-0.253241569,-2.42775631,-1.133572698,1.188842177,0.5123927,0.754902601,0.015370336,-5.9812994,-2.511394501,-2.148456097,0.805857837,-0.049552605,2.657706022,0.838673294,1.120920897,-1.023567438,-0.972854376,-0.447667301,0.409709007,0.342484981,1.802396774
35,15,INTERMEDIATE,34,-1.270544529,10.56466389,-0.686292768,-2.948237181,6.63038969,8.422420502,9.722125053,7.245383263,2.715353727,11.9009428,8.142430305,4.089880466,3.393496513,0.619022906,5.336140633,6.967322826,5.708506107,-3.244817019,1.12012136,1.209632516,5.992571354,8.989933014,9.758804321,6.845557213,8.230398178,2.911301851,-1.797753692,4.337637901,-0.789725482,4.928017616,3.23265624
36,14,INTERMEDIATE,31,-11.81884289,6.88440752,-14.07060814,-8.960952759,4.198467255,8.041202545,8.787079811,7.705778599,1.973380923,8.739876747,5.302730083,0.36007601,3.292838335,5.099515915,8.539247513,6.732439518,6.113774776,-13.95721817,-1.50930357,-4.695039749,5.613241196,7.616589546,9.301253319,6.821250916,6.754284859,2.813231468,-1.426116705,5.718615055,2.278892517,7.153641224,6.303293228
37,15,INTERMEDIATE,32,-4.115605831,4.758127213,-3.257198572,-1.222269297,2.241253376,4.471483231,5.096108913,3.897476912,-0.332509935,5.19050312,3.344097137,0.607624352,0.296701163,2.383867741,2.338474274,3.062434435,1.840228677,-4.1521101,0.896515727,-1.527844667,3.497581482,4.654080868,5.372954369,3.000017881,3.404750347,2.956069231,0.911154032,1.813110948,1.47905004,1.863029718,3.228071213
38,15,INTERMEDIATE,38,-2.775890827,6.104847908,-3.870021105,-1.277393699,3.697056532,4.953042507,6.787564754,2.187788725,2.995467663,6.891145706,5.362484932,1.489153862,2.992823601,1.254782319,3.893586159,3.780651569,4.998613358,-3.532979965,2.23396945,1.183111668,3.910778046,6.245106697,5.223969936,3.414204597,5.620473862,3.913330317,0.242556974,3.181107521,1.462723494,3.885609627,1.003229976
39,21,INTERMEDIATE,35,-3.588626623,12.90933037,-4.712540627,-2.409760952,6.656219482,11.76385212,13.63127613,8.017448425,4.612272739,13.82940865,9.140188217,3.491731644,2.236176729,5.304010868,10.19863796,8.641611099,8.429955482,-3.882870674,3.979930162,-0.068880849,8.885651588,11.87697697,11.98273468,7.543845177,11.11698723,8.082517624,1.937179565,4.936184883,3.769153118,8.32029438,6.004668713
